Dataset; #Training; %Training; %DefectTraining; %DefectTesting; Classifier; Balancing; FeatureSelection; TP; FP; TN; FN; Precision; Recall; ROC Area; Kappa
BOOKKEEPER;4;0.9018806;0.256573;0.5;IBK;OVERSAMPLING;No;50.0;14.0;46.0;10.0;0.78125;0.8333333333333334;0.7644444444444445;0.6000000000000001
BOOKKEEPER;4;0.9018806;0.256573;0.5;RandomForest;OVERSAMPLING;No;98.0;28.0;92.0;22.0;0.7777777777777778;0.8166666666666667;0.8246875;0.5833333333333333
BOOKKEEPER;4;0.9018806;0.256573;0.5;NaiveBayes;OVERSAMPLING;No;157.0;56.0;124.0;23.0;0.7370892018779343;0.8722222222222222;0.8216512345679012;0.5611111111111111
BOOKKEEPER;4;0.9018806;0.256573;0.5;IBK;UNDERSAMPLING;No;40.0;10.0;50.0;20.0;0.8;0.6666666666666666;0.75;0.5
BOOKKEEPER;4;0.9018806;0.256573;0.5;RandomForest;UNDERSAMPLING;No;86.0;21.0;99.0;34.0;0.8037383177570093;0.7166666666666667;0.8051041666666666;0.5416666666666667
BOOKKEEPER;4;0.9018806;0.256573;0.5;NaiveBayes;UNDERSAMPLING;No;146.0;48.0;132.0;34.0;0.7525773195876289;0.8111111111111111;0.8147222222222222;0.5444444444444445
BOOKKEEPER;4;0.9018806;0.256573;0.5;IBK;SMOTE;No;45.0;19.0;41.0;15.0;0.703125;0.75;0.7166666666666667;0.43333333333333335
BOOKKEEPER;4;0.9018806;0.256573;0.5;RandomForest;SMOTE;No;97.0;40.0;80.0;23.0;0.708029197080292;0.8083333333333333;0.7758333333333334;0.4750000000000001
BOOKKEEPER;4;0.9018806;0.256573;0.5;NaiveBayes;SMOTE;No;157.0;70.0;110.0;23.0;0.6916299559471366;0.8722222222222222;0.7905246913580247;0.4833333333333334
BOOKKEEPER;5;0.89075017;0.28045788;0.45333335;IBK;NO SAMPLING;Yes;77.0;13.0;55.0;5.0;0.8555555555555555;0.9390243902439024;0.8797525107604017;0.7554347826086957
BOOKKEEPER;5;0.89075017;0.28045788;0.45333335;RandomForest;NO SAMPLING;Yes;156.0;24.0;112.0;8.0;0.8666666666666667;0.9512195121951219;0.9036271520803444;0.7826086956521738
BOOKKEEPER;5;0.89075017;0.28045788;0.45333335;NaiveBayes;NO SAMPLING;Yes;238.0;35.0;169.0;8.0;0.8717948717948718;0.967479674796748;0.9126016260162602;0.8050063486305098
BOOKKEEPER;5;0.89075017;0.28045788;0.45333335;IBK;OVERSAMPLING;Yes;77.0;13.0;55.0;5.0;0.8555555555555555;0.9390243902439024;0.8480989956958394;0.7554347826086957
BOOKKEEPER;5;0.89075017;0.28045788;0.45333335;RandomForest;OVERSAMPLING;Yes;154.0;24.0;112.0;10.0;0.8651685393258427;0.9390243902439024;0.8931357604017217;0.7693142753754298
BOOKKEEPER;5;0.89075017;0.28045788;0.45333335;NaiveBayes;OVERSAMPLING;Yes;236.0;35.0;169.0;10.0;0.8708487084870848;0.959349593495935;0.9048401881077635;0.7961094665619526
BOOKKEEPER;5;0.89075017;0.28045788;0.45333335;IBK;UNDERSAMPLING;Yes;68.0;11.0;57.0;14.0;0.8607594936708861;0.8292682926829268;0.84262912482066;0.6649991066642845
BOOKKEEPER;5;0.89075017;0.28045788;0.45333335;RandomForest;UNDERSAMPLING;Yes;144.0;19.0;117.0;20.0;0.8834355828220859;0.8780487804878049;0.8715701219512195;0.7378797383278072
BOOKKEEPER;5;0.89075017;0.28045788;0.45333335;NaiveBayes;UNDERSAMPLING;Yes;224.0;30.0;174.0;22.0;0.8818897637795275;0.9105691056910569;0.8857205483819544;0.7660748560460653
